"","Symbol","Name"
"470","BWMCU","Boxwood Merger Corp."
"471","BWMCW","Boxwood Merger Corp."
"472","BCLI","Brainstorm Cell Therapeutics Inc."
"473","BWAY","Brainsway Ltd."
"474","BVNSC","Brandes Investment Trust"
"475","BEER","Bricktown Restaurant Group, Inc."
"476","BDGE","Bridge Bancorp, Inc."
"477","BLIN          ","Bridgeline Digital, Inc."
"478","BWB","Bridgewater Bancshares, Inc."
"479","BRID","Bridgford Foods Corporation"
"480","BCOV","Brightcove Inc."
"481","BHF","Brighthouse Financial, Inc."
"482","BHFAL","Brighthouse Financial, Inc."
"483","BHFAP","Brighthouse Financial, Inc."
"484","AVGO","Broadcom Inc."
"485","BVSN","BroadVision, Inc."
"486","BYFC","Broadway Financial Corporation"
"487","BWEN","Broadwind Energy, Inc."
"488","BPY","Brookfield Property Partners L.P."
"489","BPYPP","Brookfield Property Partners L.P."
"490","BPR","Brookfield Property REIT Inc."
"491","BPRAP","Brookfield Property REIT Inc."
"492","BRKL","Brookline Bancorp, Inc."
"493","BRKS","Brooks Automation, Inc."
"494","DOOO","BRP Inc."
"495","BRKR","Bruker Corporation"
"496","BMTC","Bryn Mawr Bank Corporation"
"497","BSQR","BSQUARE Corporation"
"498","BLDR","Builders FirstSource, Inc."
"499","BFST","Business First Bancshares, Inc."
"500","CFFI","C&F Financial Corporation"
"501","CHRW","C.H. Robinson Worldwide, Inc."
"502","CCMP","Cabot Microelectronics Corporation"
"503","CDNS","Cadence Design Systems, Inc."
"504","CDZI","Cadiz, Inc."
"505","CZR","Caesars Entertainment Corporation"
"506","CSTE","Caesarstone Ltd."
"507","CLBS","Caladrius Biosciences, Inc."
"508","CHY","Calamos Convertible and High Income Fund"
"509","CHI","Calamos Convertible Opportunities and Income Fund"
"510","CCD","Calamos Dynamic Convertible & Income Fund"
"511","CHW","Calamos Global Dynamic Income Fund"
"512","CGO","Calamos Global Total Return Fund"
"513","CSQ","Calamos Strategic Total Return Fund"
"514","CAMP","CalAmp Corp."
"515","CVGW","Calavo Growers, Inc."
"516","CALA","Calithera Biosciences, Inc."
"517","CALM","Cal-Maine Foods, Inc."
"518","CLMT","Calumet Specialty Products Partners, L.P."
"519","CRUSC","Calvert Management Series"
"520","CLXT","Calyxt, Inc."
"521","CATC","Cambridge Bancorp"
"522","CAC","Camden National Corporation"
"523","CAMT","Camtek Ltd."
"524","CSIQ","Canadian Solar Inc."
"525","CGIX","Cancer Genetics, Inc."
"526","CPHC","Canterbury Park Holding Corporation"
"527","CBNK","Capital Bancorp, Inc."
"528","CCBG","Capital City Bank Group"
"529","CPLP","Capital Product Partners L.P."
"530","CSWC","Capital Southwest Corporation"
"531","CSWCL","Capital Southwest Corporation"
"532","CPTA","Capitala Finance Corp."
"533","CPTAG","Capitala Finance Corp."
"534","CPTAL","Capitala Finance Corp."
"535","CFFN","Capitol Federal Financial, Inc."
"536","CAPR","Capricor Therapeutics, Inc."
"537","CSTR","CapStar Financial Holdings, Inc."
"538","CPST","Capstone Turbine Corporation"
"539","CARA","Cara Therapeutics, Inc."
"540","CBLK","Carbon Black, Inc."
"541","CARB","Carbonite, Inc."
"542","CSII","Cardiovascular Systems, Inc."
"543","CDLX","Cardlytics, Inc."
"544","CATM","Cardtronics plc"
"545","CDNA","CareDx, Inc."
"546","CECO","Career Education Corporation"
"547","CTRE","CareTrust REIT, Inc."
"548","CARG","CarGurus, Inc."
"549","CARO","Carolina Financial Corporation"
"550","CART","Carolina Trust BancShares, Inc."
"551","CRZO","Carrizo Oil & Gas, Inc."
"552","TAST","Carrols Restaurant Group, Inc."
"553","CARE","Carter Bank & Trust"
"554","CARV","Carver Bancorp, Inc."
"555","CASA","Casa Systems, Inc."
"556","CWST","Casella Waste Systems, Inc."
"557","CASY","Caseys General Stores, Inc."
"558","CASI","CASI Pharmaceuticals, Inc."
"559","CASS","Cass Information Systems, Inc"
"560","SAVA","Cassava Sciences, Inc."
"561","CTRM","Castor Maritime Inc."
"562","CATB","Catabasis Pharmaceuticals, Inc."
"563","CBIO","Catalyst Biosciences, Inc. "
"564","CPRX","Catalyst Pharmaceuticals, Inc."
"565","CATS","Catasys, Inc."
"566","CATY","Cathay General Bancorp"
"567","CVCO","Cavco Industries, Inc."
"568","CBFV","CB Financial Services, Inc."
"569","CBAT","CBAK Energy Technology, Inc."
"570","CBMB","CBM Bancorp, Inc."
"571","CBOE","Cboe Global Markets, Inc."
"572","CBTX","CBTX, Inc."
"573","CDK","CDK Global, Inc."
"574","CDW","CDW Corporation"
"575","CECE","CECO Environmental Corp."
"576","CELC","Celcuity Inc."
"577","CELG","Celgene Corporation"
"578","CELGZ","Celgene Corporation"
"579","CLDX","Celldex Therapeutics, Inc."
"580","APOP","Cellect Biotechnology Ltd."
"581","APOPW","Cellect Biotechnology Ltd."
"582","CLRB","Cellectar Biosciences, Inc."
"583","CLRBW","Cellectar Biosciences, Inc."
"584","CLRBZ","Cellectar Biosciences, Inc."
"585","CLLS","Cellectis S.A."
"586","CBMG","Cellular Biomedicine Group, Inc."
"587","CLSN","Celsion Corporation"
"588","CELH","Celsius Holdings, Inc."
"589","CYAD","Celyad SA"
"590","CETX","Cemtrex Inc."
"591","CETXP","Cemtrex Inc."
"592","CETXW","Cemtrex Inc."
"593","CDEV","Centennial Resource Development, Inc."
"594","CSFL","CenterState Bank Corporation"
"595","CETV","Central European Media Enterprises Ltd."
"596","CFBK","Central Federal Corporation"
"597","CENT","Central Garden & Pet Company"
"598","CENTA","Central Garden & Pet Company"
"599","CVCY","Central Valley Community Bancorp"
"600","CTRC","Centric Brands Inc."
"601","CENX","Century Aluminum Company"
"602","CNBKA","Century Bancorp, Inc."
"603","CNTY","Century Casinos, Inc."
"604","CRNT","Ceragon Networks Ltd."
"605","CERC","Cerecor Inc."
"606","CERN","Cerner Corporation"
"607","CERS","Cerus Corporation"
"608","KOOL","Cesca Therapeutics Inc."
"609","CEVA","CEVA, Inc."
"610","CFFA","CF Finance Acquisition Corp."
"611","CFFAU","CF Finance Acquisition Corp."
"612","CFFAW","CF Finance Acquisition Corp."
"613","CSBR","Champions Oncology, Inc."
"614","CYOU","Changyou.com Limited"
"615","BURG","Chanticleer Holdings, Inc."
"616","CTHR","Charles & Colvard Ltd."
"617","GTLS","Chart Industries, Inc."
"618","CHTR","Charter Communications, Inc."
"619","CTAC","ChaSerg Technology Acquisition Corp."
"620","CTACU","ChaSerg Technology Acquisition Corp."
"621","CTACW","ChaSerg Technology Acquisition Corp."
"622","CHKP","Check Point Software Technologies Ltd."
"623","CHEK","Check-Cap Ltd."
"624","CHEKW","Check-Cap Ltd."
"625","CHEKZ","Check-Cap Ltd."
"626","CKPT","Checkpoint Therapeutics, Inc."
"627","CEMI","Chembio Diagnostics, Inc."
"628","CHFC","Chemical Financial Corporation"
"629","CCXI","ChemoCentryx, Inc."
"630","CHMG","Chemung Financial Corp"
"631","CHKE","Cherokee Inc."
"632","CHFS","CHF Solutions, Inc."
"633","CHMA","Chiasma, Inc."
"634","CSSE","Chicken Soup for the Soul Entertainment, Inc."
"635","CSSEP","Chicken Soup for the Soul Entertainment, Inc."
"636","PLCE","Children&#39;s Place, Inc. (The)"
"637","CMRX","Chimerix, Inc."
